66,6.7,3.1,4.4,1.4,Iris-versicolor
148,6.5,3.0,5.2,2.0,Iris-virginica
42,4.5,2.3,1.3,0.3,Iris-setosa
84,6.0,2.7,5.1,1.6,Iris-versicolor
10,4.9,3.1,1.5,0.1,Iris-setosa
61,5.0,2.0,3.5,1.0,Iris-versicolor
35,4.9,3.1,1.5,0.1,Iris-setosa
81,5.5,2.4,3.8,1.1,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
55,6.5,2.8,4.6,1.5,Iris-versicolor
123,7.7,2.8,6.7,2.0,Iris-virginica
43,4.4,3.2,1.3,0.2,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
54,5.5,2.3,4.0,1.3,Iris-versicolor
129,6.4,2.8,5.6,2.1,Iris-virginica
48,4.6,3.2,1.4,0.2,Iris-setosa
118,7.7,3.8,6.7,2.2,Iris-virginica
3,4.7,3.2,1.3,0.2,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
1,5.1,3.5,1.4,0.2,Iris-setosa
109,6.7,2.5,5.8,1.8,Iris-virginica
139,6.0,3.0,4.8,1.8,Iris-virginica
9,4.4,2.9,1.4,0.2,Iris-setosa
26,5.0,3.0,1.6,0.2,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
101,6.3,3.3,6.0,2.5,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
24,5.1,3.3,1.7,0.5,Iris-setosa
58,4.9,2.4,3.3,1.0,Iris-versicolor
25,4.8,3.4,1.9,0.2,Iris-setosa
90,5.5,2.5,4.0,1.3,Iris-versicolor
37,5.5,3.5,1.3,0.2,Iris-setosa
75,6.4,2.9,4.3,1.3,Iris-versicolor
31,4.8,3.1,1.6,0.2,Iris-setosa
68,5.8,2.7,4.1,1.0,Iris-versicolor
32,5.4,3.4,1.5,0.4,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
41,5.0,3.5,1.3,0.3,Iris-setosa
114,5.7,2.5,5.0,2.0,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
69,6.2,2.2,4.5,1.5,Iris-versicolor
62,5.9,3.0,4.2,1.5,Iris-versicolor
64,6.1,2.9,4.7,1.4,Iris-versicolor
122,5.6,2.8,4.9,2.0,Iris-virginica
93,5.8,2.6,4.0,1.2,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
78,6.7,3.0,5.0,1.7,Iris-versicolor
87,6.7,3.1,4.7,1.5,Iris-versicolor
131,7.4,2.8,6.1,1.9,Iris-virginica
71,5.9,3.2,4.8,1.8,Iris-versicolor
4,4.6,3.1,1.5,0.2,Iris-setosa
135,6.1,2.6,5.6,1.4,Iris-virginica
20,5.1,3.8,1.5,0.3,Iris-setosa
117,6.5,3.0,5.5,1.8,Iris-virginica
112,6.4,2.7,5.3,1.9,Iris-virginica
125,6.7,3.3,5.7,2.1,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
46,4.8,3.0,1.4,0.3,Iris-setosa
76,6.6,3.0,4.4,1.4,Iris-versicolor
85,5.4,3.0,4.5,1.5,Iris-versicolor
56,5.7,2.8,4.5,1.3,Iris-versicolor
33,5.2,4.1,1.5,0.1,Iris-setosa
63,6.0,2.2,4.0,1.0,Iris-versicolor
96,5.7,3.0,4.2,1.2,Iris-versicolor
21,5.4,3.4,1.7,0.2,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
106,7.6,3.0,6.6,2.1,Iris-virginica
13,4.8,3.0,1.4,0.1,Iris-setosa
72,6.1,2.8,4.0,1.3,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
23,4.6,3.6,1.0,0.2,Iris-setosa
119,7.7,2.6,6.9,2.3,Iris-virginica
120,6.0,2.2,5.0,1.5,Iris-virginica
34,5.5,4.2,1.4,0.2,Iris-setosa
36,5.0,3.2,1.2,0.2,Iris-setosa
89,5.6,3.0,4.1,1.3,Iris-versicolor
138,6.4,3.1,5.5,1.8,Iris-virginica
128,6.1,3.0,4.9,1.8,Iris-virginica
79,6.0,2.9,4.5,1.5,Iris-versicolor
134,6.3,2.8,5.1,1.5,Iris-virginica
130,7.2,3.0,5.8,1.6,Iris-virginica
17,5.4,3.9,1.3,0.4,Iris-setosa
111,6.5,3.2,5.1,2.0,Iris-virginica
39,4.4,3.0,1.3,0.2,Iris-setosa
144,6.8,3.2,5.9,2.3,Iris-virginica
59,6.6,2.9,4.6,1.3,Iris-versicolor
